ticker,source,category,source_weight,method
GLW,SPY,large_cap_core,3.0,wikipedia_sp500
CPAY,SPY,large_cap_core,3.0,wikipedia_sp500
CTVA,SPY,large_cap_core,3.0,wikipedia_sp500
CSGP,SPY,large_cap_core,3.0,wikipedia_sp500
COST,SPY,large_cap_core,3.0,wikipedia_sp500
CRH,SPY,large_cap_core,3.0,wikipedia_sp500
CRWD,SPY,large_cap_core,3.0,wikipedia_sp500
CCI,SPY,large_cap_core,3.0,wikipedia_sp500
CSX,SPY,large_cap_core,3.0,wikipedia_sp500
CMI,SPY,large_cap_core,3.0,wikipedia_sp500
CVS,SPY,large_cap_core,3.0,wikipedia_sp500
DHR,SPY,large_cap_core,3.0,wikipedia_sp500
DRI,SPY,large_cap_core,3.0,wikipedia_sp500
DDOG,SPY,large_cap_core,3.0,wikipedia_sp500
DVA,SPY,large_cap_core,3.0,wikipedia_sp500
DECK,SPY,large_cap_core,3.0,wikipedia_sp500
DE,SPY,large_cap_core,3.0,wikipedia_sp500
DELL,SPY,large_cap_core,3.0,wikipedia_sp500
DAL,SPY,large_cap_core,3.0,wikipedia_sp500
DVN,SPY,large_cap_core,3.0,wikipedia_sp500
DXCM,SPY,large_cap_core,3.0,wikipedia_sp500
FANG,SPY,large_cap_core,3.0,wikipedia_sp500
DLR,SPY,large_cap_core,3.0,wikipedia_sp500
DG,SPY,large_cap_core,3.0,wikipedia_sp500
DLTR,SPY,large_cap_core,3.0,wikipedia_sp500
D,SPY,large_cap_core,3.0,wikipedia_sp500
DPZ,SPY,large_cap_core,3.0,wikipedia_sp500
DASH,SPY,large_cap_core,3.0,wikipedia_sp500
DOV,SPY,large_cap_core,3.0,wikipedia_sp500
DOW,SPY,large_cap_core,3.0,wikipedia_sp500
DHI,SPY,large_cap_core,3.0,wikipedia_sp500
DTE,SPY,large_cap_core,3.0,wikipedia_sp500
DUK,SPY,large_cap_core,3.0,wikipedia_sp500
DD,SPY,large_cap_core,3.0,wikipedia_sp500
ETN,SPY,large_cap_core,3.0,wikipedia_sp500
EBAY,SPY,large_cap_core,3.0,wikipedia_sp500
ECHO,SPY,large_cap_core,3.0,wikipedia_sp500
ECL,SPY,large_cap_core,3.0,wikipedia_sp500
EIX,SPY,large_cap_core,3.0,wikipedia_sp500
EW,SPY,large_cap_core,3.0,wikipedia_sp500
EA,SPY,large_cap_core,3.0,wikipedia_sp500
ELV,SPY,large_cap_core,3.0,wikipedia_sp500
EME,SPY,large_cap_core,3.0,wikipedia_sp500
EMR,SPY,large_cap_core,3.0,wikipedia_sp500
